date,product_id,product_name,category,units_sold,current_stock,price,supplier,warehouse_location,lead_time_days,revenue
2021-01-01,P001,Wireless Earbuds,Electronics,5,1774,151,GadgetPro,Tokyo,2,755
2021-01-02,P001,Wireless Earbuds,Electronics,4,1772,151,ElectroHub,Osaka,4,604
2021-01-03,P001,Wireless Earbuds,Electronics,8,1779,151,GadgetPro,Tokyo,2,1208
2021-01-04,P001,Wireless Earbuds,Electronics,8,1778,151,GadgetPro,Nagoya,7,1208
2021-01-05,P001,Wireless Earbuds,Electronics,4,1778,151,GadgetPro,Tokyo,5,604
2021-01-06,P001,Wireless Earbuds,Electronics,6,1788,151,TechSupply Ltd,Tokyo,3,906
2021-01-07,P001,Wireless Earbuds,Electronics,7,1798,151,GadgetPro,Tokyo,7,1057
2021-01-08,P001,Wireless Earbuds,Electronics,4,1805,151,TechSupply Ltd,Nagoya,6,604
2021-01-09,P001,Wireless Earbuds,Electronics,5,1807,151,ElectroHub,Nagoya,4,755
2021-01-10,P001,Wireless Earbuds,Electronics,2,1823,151,GadgetPro,Osaka,4,302
2021-01-11,P001,Wireless Earbuds,Electronics,1,1839,151,TechSupply Ltd,Osaka,8,151
2021-01-12,P001,Wireless Earbuds,Electronics,6,1841,151,TechSupply Ltd,Tokyo,6,906
2021-01-13,P001,Wireless Earbuds,Electronics,8,1833,151,TechSupply Ltd,Tokyo,9,1208
2021-01-14,P001,Wireless Earbuds,Electronics,6,1827,151,TechSupply Ltd,Tokyo,7,906
2021-01-15,P001,Wireless Earbuds,Electronics,2,1826,151,TechSupply Ltd,Nagoya,7,302
2021-01-16,P001,Wireless Earbuds,Electronics,2,1833,151,ElectroHub,Tokyo,3,302
2021-01-17,P001,Wireless Earbuds,Electronics,6,1842,151,ElectroHub,Tokyo,6,906
2021-01-18,P001,Wireless Earbuds,Electronics,6,1853,151,GadgetPro,Osaka,10,906
2021-01-19,P001,Wireless Earbuds,Electronics,5,1861,151,TechSupply Ltd,Osaka,9,755
2021-01-20,P001,Wireless Earbuds,Electronics,4,1869,151,ElectroHub,Nagoya,13,604
2021-01-21,P001,Wireless Earbuds,Electronics,8,1869,151,GadgetPro,Nagoya,12,1208
2021-01-22,P001,Wireless Earbuds,Electronics,4,1867,151,TechSupply Ltd,Nagoya,13,604
2021-01-23,P001,Wireless Earbuds,Electronics,6,1866,151,TechSupply Ltd,Nagoya,7,906
2021-01-24,P001,Wireless Earbuds,Electronics,9,1869,151,GadgetPro,Osaka,10,1359
2021-01-25,P001,Wireless Earbuds,Electronics,5,1877,151,ElectroHub,Osaka,7,755
2021-01-26,P001,Wireless Earbuds,Electronics,6,1878,151,TechSupply Ltd,Osaka,2,906
2021-01-27,P001,Wireless Earbuds,Electronics,5,1874,151,GadgetPro,Tokyo,7,755
2021-01-28,P001,Wireless Earbuds,Electronics,3,1886,151,TechSupply Ltd,Nagoya,9,453
2021-01-29,P001,Wireless Earbuds,Electronics,1,1891,151,ElectroHub,Nagoya,4,151
2021-01-30,P001,Wireless Earbuds,Electronics,3,1905,151,GadgetPro,Nagoya,6,453
2021-01-31,P001,Wireless Earbuds,Electronics,3,1903,151,GadgetPro,Tokyo,7,453
2021-02-01,P001,Wireless Earbuds,Electronics,4,1901,151,GadgetPro,Osaka,3,604
2021-02-02,P001,Wireless Earbuds,Electronics,4,1914,151,ElectroHub,Osaka,13,604
2021-02-03,P001,Wireless Earbuds,Electronics,4,1922,151,GadgetPro,Osaka,8,604
2021-02-04,P001,Wireless Earbuds,Electronics,6,1920,151,GadgetPro,Nagoya,11,906
2021-02-05,P001,Wireless Earbuds,Electronics,6,1932,151,TechSupply Ltd,Tokyo,10,906
2021-02-06,P001,Wireless Earbuds,Electronics,6,1940,151,GadgetPro,Nagoya,11,906
2021-02-07,P001,Wireless Earbuds,Electronics,7,1950,151,TechSupply Ltd,Osaka,7,1057
2021-02-08,P001,Wireless Earbuds,Electronics,6,1944,151,GadgetPro,Tokyo,10,906
2021-02-09,P001,Wireless Earbuds,Electronics,5,1952,151,TechSupply Ltd,Osaka,4,755
2021-02-10,P001,Wireless Earbuds,Electronics,7,1964,151,GadgetPro,Osaka,12,1057
2021-02-11,P001,Wireless Earbuds,Electronics,4,1961,151,ElectroHub,Nagoya,10,604
2021-02-12,P001,Wireless Earbuds,Electronics,4,1965,151,ElectroHub,Tokyo,10,604
2021-02-13,P001,Wireless Earbuds,Electronics,8,1957,151,TechSupply Ltd,Osaka,6,1208
2021-02-14,P001,Wireless Earbuds,Electronics,3,1968,151,TechSupply Ltd,Osaka,6,453
2021-02-15,P001,Wireless Earbuds,Electronics,5,1970,151,TechSupply Ltd,Osaka,3,755
2021-02-16,P001,Wireless Earbuds,Electronics,2,1985,151,ElectroHub,Tokyo,8,302
2021-02-17,P001,Wireless Earbuds,Electronics,1,1984,151,ElectroHub,Nagoya,8,151
2021-02-18,P001,Wireless Earbuds,Electronics,6,1990,151,GadgetPro,Nagoya,2,906
2021-02-19,P001,Wireless Earbuds,Electronics,4,2004,151,GadgetPro,Nagoya,10,604
2021-02-20,P001,Wireless Earbuds,Electronics,6,2016,151,ElectroHub,Nagoya,11,906
2021-02-21,P001,Wireless Earbuds,Electronics,3,2031,151,ElectroHub,Tokyo,4,453
2021-02-22,P001,Wireless Earbuds,Electronics,8,2033,151,TechSupply Ltd,Nagoya,9,1208
2021-02-23,P001,Wireless Earbuds,Electronics,4,2035,151,ElectroHub,Osaka,3,604
2021-02-24,P001,Wireless Earbuds,Electronics,2,2045,151,TechSupply Ltd,Tokyo,10,302
2021-02-25,P001,Wireless Earbuds,Electronics,5,2041,151,GadgetPro,Osaka,3,755
2021-02-26,P001,Wireless Earbuds,Electronics,5,2038,151,GadgetPro,Tokyo,7,755
2021-02-27,P001,Wireless Earbuds,Electronics,4,2040,151,ElectroHub,Osaka,3,604
2021-02-28,P001,Wireless Earbuds,Electronics,6,2051,151,TechSupply Ltd,Tokyo,3,906
2021-03-01,P001,Wireless Earbuds,Electronics,6,2054,151,GadgetPro,Nagoya,3,906
2021-03-02,P001,Wireless Earbuds,Electronics,6,2061,151,ElectroHub,Tokyo,7,906
2021-03-03,P001,Wireless Earbuds,Electronics,4,2069,151,ElectroHub,Nagoya,13,604
2021-03-04,P001,Wireless Earbuds,Electronics,3,2080,151,TechSupply Ltd,Nagoya,5,453
2021-03-05,P001,Wireless Earbuds,Electronics,2,2078,151,GadgetPro,Tokyo,2,302
2021-03-06,P001,Wireless Earbuds,Electronics,5,2083,151,TechSupply Ltd,Tokyo,6,755
2021-03-07,P001,Wireless Earbuds,Electronics,8,2087,151,GadgetPro,Tokyo,13,1208
2021-03-08,P001,Wireless Earbuds,Electronics,1,2102,151,TechSupply Ltd,Tokyo,4,151
2021-03-09,P001,Wireless Earbuds,Electronics,8,2101,151,ElectroHub,Tokyo,2,1208
2021-03-10,P001,Wireless Earbuds,Electronics,6,2108,151,GadgetPro,Nagoya,5,906
2021-03-11,P001,Wireless Earbuds,Electronics,6,2118,151,ElectroHub,Osaka,9,906
2021-03-12,P001,Wireless Earbuds,Electronics,9,2128,151,ElectroHub,Nagoya,6,1359
2021-03-13,P001,Wireless Earbuds,Electronics,4,2130,151,ElectroHub,Nagoya,11,604
2021-03-14,P001,Wireless Earbuds,Electronics,11,2129,151,TechSupply Ltd,Osaka,5,1661
2021-03-15,P001,Wireless Earbuds,Electronics,3,2132,151,GadgetPro,Osaka,13,453
2021-03-16,P001,Wireless Earbuds,Electronics,4,2133,151,GadgetPro,Nagoya,8,604
2021-03-17,P001,Wireless Earbuds,Electronics,2,2150,151,GadgetPro,Nagoya,11,302
2021-03-18,P001,Wireless Earbuds,Electronics,6,2145,151,ElectroHub,Osaka,4,906
2021-03-19,P001,Wireless Earbuds,Electronics,2,2160,151,GadgetPro,Osaka,6,302
2021-03-20,P001,Wireless Earbuds,Electronics,8,2153,151,ElectroHub,Osaka,2,1208
2021-03-21,P001,Wireless Earbuds,Electronics,11,2156,151,GadgetPro,Nagoya,10,1661
2021-03-22,P001,Wireless Earbuds,Electronics,3,2154,151,TechSupply Ltd,Osaka,5,453
2021-03-23,P001,Wireless Earbuds,Electronics,7,2164,151,GadgetPro,Tokyo,3,1057
2021-03-24,P001,Wireless Earbuds,Electronics,6,2174,151,TechSupply Ltd,Tokyo,2,906
2021-03-25,P001,Wireless Earbuds,Electronics,5,2175,151,ElectroHub,Nagoya,11,755
2021-03-26,P001,Wireless Earbuds,Electronics,5,2186,151,TechSupply Ltd,Osaka,9,755
2021-03-27,P001,Wireless Earbuds,Electronics,5,2182,151,TechSupply Ltd,Tokyo,11,755
2021-03-28,P001,Wireless Earbuds,Electronics,5,2177,151,GadgetPro,Nagoya,10,755
2021-03-29,P001,Wireless Earbuds,Electronics,5,2179,151,TechSupply Ltd,Nagoya,10,755
2021-03-30,P001,Wireless Earbuds,Electronics,3,2192,151,TechSupply Ltd,Tokyo,13,453
2021-03-31,P001,Wireless Earbuds,Electronics,5,2193,151,ElectroHub,Nagoya,11,755
2021-04-01,P001,Wireless Earbuds,Electronics,4,2197,151,TechSupply Ltd,Tokyo,12,604
2021-04-02,P001,Wireless Earbuds,Electronics,3,2201,151,GadgetPro,Nagoya,11,453
2021-04-03,P001,Wireless Earbuds,Electronics,7,2210,151,ElectroHub,Tokyo,11,1057
2021-04-04,P001,Wireless Earbuds,Electronics,9,2215,151,ElectroHub,Nagoya,11,1359
2021-04-05,P001,Wireless Earbuds,Electronics,1,2233,151,ElectroHub,Nagoya,4,151
2021-04-06,P001,Wireless Earbuds,Electronics,7,2239,151,GadgetPro,Osaka,5,1057
2021-04-07,P001,Wireless Earbuds,Electronics,3,2240,151,ElectroHub,Nagoya,10,453
2021-04-08,P001,Wireless Earbuds,Electronics,4,2244,151,GadgetPro,Nagoya,12,604
2021-04-09,P001,Wireless Earbuds,Electronics,6,2255,151,TechSupply Ltd,Tokyo,3,906
